LHO.IDN,LHO.KUT,LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
001E,055F63,2018060616,1600,77.22,15.84,80.72,E,1,H,80,V,217,1009,185,915,988,204,186,949,0,0,0,0,0,0,0,0,2018060622
001E,055F63,2018060617,1700,79.08,16.3,79.76,E,1,H,80,V,206,996,197,985,976,208,204,997,0,0,0,0,0,0,0,0,2018060623
001E,055F63,2018060618,1800,77.36,15.9,79.68,E,1,H,80,V,171,909,208,990,996,205,211,973,0,0,0,0,0,0,0,0,2018060700
001E,055F63,2018060619,1900,67.62,15.36,73.68,E,1,H,80,V,178,801,220,921,834,169,201,825,0,0,0,0,0,0,0,0,2018060701
001E,055F63,2018060620,2000,58.94,12.06,60.56,E,1,H,80,V,149,725,159,757,732,145,150,733,0,0,0,0,0,0,0,0,2018060702
001E,055F63,2018060621,2100,54.74,11.14,56,E,1,H,80,V,143,700,137,685,699,146,131,653,0,0,0,0,0,0,0,0,2018060703
001E,055F63,2018060622,2200,47.14,10.06,55.92,E,1,H,80,V,142,658,145,682,699,144,72,318,0,0,0,0,0,0,0,0,2018060704
001E,055F63,2018060623,2300,8.42,2.38,9.76,E,1,H,80,V,32,102,27,97,122,29,31,100,0,0,0,0,0,0,0,0,2018060705
001E,055F63,2018060624,2400,8.36,2.58,9.44,E,1,H,80,V,30,100,30,100,100,30,39,118,0,0,0,0,0,0,0,0,2018060706
001E,055F63,2018060701,0100,7.96,2.28,8.24,E,1,H,80,V,31,103,29,100,97,25,29,98,0,0,0,0,0,0,0,0,2018060707
001E,055F63,2018060702,0200,7.86,2.28,8,E,1,H,80,V,27,95,29,100,100,30,28,98,0,0,0,0,0,0,0,0,2018060708
001E,055F63,2018060703,0300,8.34,2.64,9.68,E,1,H,80,V,30,100,44,121,100,31,27,96,0,0,0,0,0,0,0,0,2018060709
001E,055F63,2018060704,0400,7.82,2.08,8,E,1,H,80,V,25,96,28,99,100,27,24,96,0,0,0,0,0,0,0,0,2018060710
001E,055F63,2018060705,0500,8.2,2.38,9.28,E,1,H,80,V,37,116,24,95,100,30,28,99,0,0,0,0,0,0,0,0,2018060711
001E,055F63,2018060706,0600,7.24,1.3,7.84,E,1,H,80,V,10,82,21,93,98,27,7,89,0,0,0,0,0,0,0,0,2018060712
001E,055F63,2018060707,0700,46.2,9.98,49.12,E,1,H,80,V,146,554,154,598,544,65,134,614,0,0,0,0,0,0,0,0,2018060713
001E,055F63,2018060708,0800,55.94,12.12,63.6,E,1,H,80,V,143,661,169,692,649,138,156,795,0,0,0,0,0,0,0,0,2018060714
001E,055F63,2018060709,0900,68.32,14.3,71.04,E,1,H,80,V,163,842,172,826,860,182,198,888,0,0,0,0,0,0,0,0,2018060715
001E,055F63,2018060710,1000,72.44,14.44,76.24,E,1,H,80,V,206,953,180,913,878,167,169,878,0,0,0,0,0,0,0,0,2018060716
001E,055F63,2018060711,1100,73.74,15.9,77.2,E,1,H,80,V,192,890,184,902,965,220,199,930,0,0,0,0,0,0,0,0,2018060717
001E,055F63,2018060712,1200,66.12,15.24,74.24,E,1,H,80,V,168,727,208,885,928,197,189,766,0,0,0,0,0,0,0,0,2018060718
001E,055F63,2018060713,1300,62.38,14.24,67.76,E,1,H,80,V,182,766,195,847,772,187,148,734,0,0,0,0,0,0,0,0,2018060719
001E,055F63,2018060714,1400,60.02,13.52,62.08,E,1,H,80,V,182,761,153,727,776,181,160,737,0,0,0,0,0,0,0,0,2018060720
001E,055F63,2018060715,1500,66.22,15.44,70.88,E,1,H,80,V,186,823,195,813,789,185,206,886,0,0,0,0,0,0,0,0,2018060721
001E,055F63,2018060716,1600,68.84,14.58,71.52,E,1,H,80,V,181,857,194,894,845,180,174,846,0,0,0,0,0,0,0,0,2018060722
001E,055F63,2018060717,1700,69.56,14.34,72.64,E,1,H,80,V,198,908,162,838,880,185,172,852,0,0,0,0,0,0,0,0,2018060723
001E,055F63,2018060718,1800,69.98,15.06,74.8,E,1,H,80,V,173,852,171,860,935,217,192,852,0,0,0,0,0,0,0,0,2018060800
001E,055F63,2018060719,1900,56.92,13.16,60.56,E,1,H,80,V,162,703,190,757,680,154,152,706,0,0,0,0,0,0,0,0,2018060801
001E,055F63,2018060720,2000,54.78,10.8,55.84,E,1,H,80,V,127,694,139,670,698,147,127,677,0,0,0,0,0,0,0,0,2018060802
001E,055F63,2018060721,2100,51.16,9.3,54.4,E,1,H,80,V,118,653,108,609,616,116,123,680,0,0,0,0,0,0,0,0,2018060803
001E,055F63,2018060722,2200,44.76,9.74,54.72,E,1,H,80,V,134,636,154,684,671,143,56,247,0,0,0,0,0,0,0,0,2018060804
001E,055F63,2018060723,2300,8.12,2.28,8.32,E,1,H,80,V,27,100,26,100,104,31,30,102,0,0,0,0,0,0,0,0,2018060805
001E,055F63,2018060724,2400,9.34,2.98,11.92,E,1,H,80,V,42,123,25,98,97,25,57,149,0,0,0,0,0,0,0,0,2018060806
001E,055F63,2018060801,0100,10.5,3.44,10.88,E,1,H,80,V,41,130,44,130,129,45,42,136,0,0,0,0,0,0,0,0,2018060807
001E,055F63,2018060802,0200,10.36,3.52,10.48,E,1,H,80,V,43,128,43,128,131,44,46,131,0,0,0,0,0,0,0,0,2018060808
