LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
2016040922,2200,1.04,0.3,1.2,E,1,H,80,V,4,15,3,12,14,5,3,11,0,0,0,0,0,0,0,0,2016041004
2016040923,2300,1.08,0.42,1.2,E,1,H,80,V,6,14,3,11,15,7,5,14,0,0,0,0,0,0,0,0,2016041005
2016040924,2400,1.06,0.36,1.2,E,1,H,80,V,3,11,7,15,12,2,6,15,0,0,0,0,0,0,0,0,2016041006
2016041001,0100,3.94,1.3,4.56,E,1,H,80,V,21,55,18,57,52,17,9,33,0,0,0,0,0,0,0,0,2016041007
2016041002,0200,1.64,0.8,2.16,E,1,H,80,V,5,15,17,27,25,12,6,15,0,0,0,0,0,0,0,0,2016041008
2016041003,0300,1.22,0.4,1.92,E,1,H,80,V,3,11,6,15,11,3,8,24,0,0,0,0,0,0,0,0,2016041009
2016041004,0400,3.06,0.58,3.2,E,1,H,80,V,9,40,9,40,37,5,6,36,0,0,0,0,0,0,0,0,2016041010
2016041005,0500,3.04,0.56,3.2,E,1,H,80,V,8,40,6,36,40,8,6,36,0,0,0,0,0,0,0,0,2016041011
2016041006,0600,3.12,0.62,3.2,E,1,H,80,V,7,39,7,37,40,8,9,40,0,0,0,0,0,0,0,0,2016041012
2016041007,0700,3.02,0.56,3.2,E,1,H,80,V,5,37,9,40,36,5,9,38,0,0,0,0,0,0,0,0,2016041013
2016041008,0800,1.36,0.62,2.24,E,1,H,80,V,11,14,11,25,28,7,2,1,0,0,0,0,0,0,0,0,2016041014
2016041009,0900,0.06,0.14,0.16,E,1,H,80,V,4,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2016041015
2016041010,1000,1.32,1.06,5.28,E,1,H,80,V,0,0,0,0,0,0,53,66,0,0,0,0,0,0,0,0,2016041016
2016041011,1100,0.26,0.7,0.88,E,1,H,80,V,31,11,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2016041017
2016041012,1200,0.14,0.5,0.56,E,1,H,80,V,0,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,2016041018
2016041013,1300,2.18,1.08,5.28,E,1,H,80,V,0,0,29,66,11,8,17,32,0,0,0,0,0,0,0,0,2016041019
2016041114,1400,0.2,0.26,0.8,E,1,H,80,V,0,0,0,0,0,5,8,10,0,0,0,0,0,0,0,0,2016041120
2016041115,1500,0.04,0.24,0.08,E,1,H,80,V,1,0,0,0,1,5,6,1,0,0,0,0,0,0,0,0,2016041121
2016041116,1600,0.46,2.48,1.2,E,1,H,80,V,59,8,2,0,0,0,63,15,0,0,0,0,0,0,0,0,2016041122
2016041117,1700,1.32,2.88,2.64,E,1,H,80,V,52,27,47,6,0,0,45,33,0,0,0,0,0,0,0,0,2016041123
2016041118,1800,4.94,4.76,6.8,E,1,H,80,V,63,69,70,53,40,46,59,85,0,0,0,0,0,0,0,0,2016041200
2016041119,1900,8.64,4.94,13.28,E,1,H,80,V,63,121,61,73,72,49,74,166,0,0,0,0,0,0,0,0,2016041201
2016041120,2000,14.06,5.06,16,E,1,H,80,V,59,161,77,200,183,82,35,159,0,0,0,0,0,0,0,0,2016041202
2016041121,2100,11.36,3.02,13.76,E,1,H,80,V,21,91,35,157,172,46,49,148,0,0,0,0,0,0,0,0,2016041203
2016041122,2200,4.48,1.16,8.72,E,1,H,80,V,6,14,27,109,86,19,6,15,0,0,0,0,0,0,0,0,2016041204
2016041123,2300,1.02,0.34,1.2,E,1,H,80,V,3,11,6,14,11,3,5,15,0,0,0,0,0,0,0,0,2016041205
2016041124,2400,1.04,0.34,1.2,E,1,H,80,V,6,14,5,15,11,3,3,12,0,0,0,0,0,0,0,0,2016041206
2016041201,0100,3.94,1.62,4.64,E,1,H,80,V,20,55,19,58,53,27,15,31,0,0,0,0,0,0,0,0,2016041207
